,mean_abs_shap
contrast__shock__sp_spread_hz__max,0.00017798583956065719
other__shock__wlfrac4__std,0.00017786284651645167
contrast__vib__wlabs4__max,0.0001773382036818021
contrast__shock__wl_entropy__max,0.00017728346719668515
contrast__shock__sp_entropy__std,0.00017494423759193152
self__shock__sp_entropy__mean,0.00017481962658930176
contrast__shock__std__max,0.00017433079733922066
self__vib__zcr__std,0.00017411366017356422
other__shock__sp_rolloff95_hz__std,0.0001732197636670922
self__vib__sp_entropy__std,0.00017303764003196597
contrast__vib__crest__p90,0.00017111733816759493
self__shock__crest__median,0.0001680564323740642
contrast__shock__skewness__max,0.00016798193853624304
self__vib__wlfrac0__max,0.0001658612253829626
self__shock__kurtosis__max,0.0001644869560128254
contrast__vib__wlfrac1__max,0.00016373529151674702
self__shock__shape__mean,0.00016343306453418598
self__vib__sp_spread_hz__p90,0.00016251097345459378
other__vib__impulse__median,0.0001617179518497633
self__shock__wl_entropy__max,0.00016151026046577134
contrast__shock__wlfrac4__median,0.0001602117604940521
self__shock__wl_entropy__std,0.00015984890461131796
other__vib__sp_rolloff95_hz__p90,0.00015969932687324238
contrast__shock__wlfrac0__p90,0.00015940021505194953
contrast__vib__sp_spread_hz__p90,0.00015833534402414083
self__vib__zcr__median,0.00015821820252531556
contrast__shock__kurtosis__mean,0.00015519467440188624
contrast__vib__wl_peak_m__std,0.00015509769401911297
other__vib__zcr__median,0.0001539391210686741
contrast__vib__wlabs2__median,0.00015321158107018618
other__vib__wlfrac0__std,0.00015320759455430852
other__vib__clearance__mean,0.00015260447433638642
self__vib__crest__max,0.00015244398387260157
other__vib__sp_rolloff95_hz__std,0.00015079412627681433
contrast__shock__shape__median,0.00014997704859230022
contrast__shock__wlfrac3__max,0.000149670616443043
contrast__vib__wlfrac2__mean,0.00014966070263730373
contrast__vib__wlabs4__median,0.0001495815595883563
other__vib__sp_spread_hz__max,0.0001493205397063583
contrast__vib__clearance__mean,0.0001486426997448998
self__shock__kurtosis__median,0.00014792018731415906
self__vib__skewness__median,0.00014657321528847354
other__shock__crest__p90,0.00014594009601630014
other__vib__wl_peak_m__mean,0.0001457073332785778
contrast__vib__wlabs0__max,0.00014484305771507135
contrast__vib__wlfrac1__median,0.0001448191396999064
contrast__shock__crest__std,0.00014463426795334862
contrast__shock__zcr__mean,0.00014397255052733923
other__shock__shape__std,0.0001438673864039394
contrast__vib__sp_centroid_hz__median,0.00014383027749454488
self__shock__shape__median,0.00014352520854079117
self__shock__wlfrac4__p90,0.00014217661520050161
other__vib__zcr__max,0.00014187648443619923
other__vib__shape__mean,0.00014074683702519235
contrast__vib__sp_flatness__mean,0.00014040865717674072
